uses_https,suspicious_patterns_count,domain_age_days,uses_suspicious_tld,domain_length,uses_ip,redirects,subdomains_count,url_length,label
1.0,0.0,6399.0,0.0,23.0,0.0,1.0,0.0,76.0,0.0
1.0,0.0,1729.0,1.0,19.0,0.0,0.0,2.0,61.0,0.0
0.0,5.0,39.0,0.0,21.0,1.0,2.0,2.0,105.0,1.0
1.0,5.0,104.0,1.0,23.0,0.0,1.0,5.0,67.0,1.0
1.0,2.0,151.0,1.0,30.0,1.0,3.0,2.0,164.0,1.0
1.0,4.0,40.0,0.0,12.0,1.0,2.0,4.0,152.0,1.0
1.0,2.0,7073.0,1.0,20.0,0.0,3.0,0.0,14.0,0.0
1.0,1.0,3184.0,0.0,24.0,0.0,1.0,0.0,18.0,0.0
1.0,0.0,1032.0,0.0,15.0,1.0,1.0,1.0,16.0,0.0
1.0,2.0,2.0,0.0,36.0,1.0,2.0,3.0,100.0,1.0
0.0,0.0,6561.0,0.0,10.0,1.0,1.0,1.0,78.0,0.0
0.0,6.0,73.0,1.0,43.0,0.0,0.0,5.0,196.0,1.0
1.0,0.0,7856.0,0.0,17.0,1.0,0.0,1.0,40.0,0.0
1.0,0.0,462.0,0.0,16.0,1.0,0.0,2.0,65.0,0.0
0.0,0.0,725.0,0.0,10.0,1.0,1.0,2.0,36.0,0.0
1.0,1.0,6849.0,0.0,5.0,0.0,0.0,1.0,60.0,0.0
0.0,2.0,88.0,1.0,46.0,1.0,0.0,4.0,58.0,1.0
1.0,5.0,13.0,1.0,17.0,0.0,0.0,1.0,67.0,1.0
1.0,2.0,6149.0,0.0,17.0,0.0,0.0,2.0,18.0,0.0
0.0,4.0,19.0,0.0,50.0,1.0,3.0,3.0,181.0,1.0
1.0,0.0,7167.0,0.0,5.0,0.0,0.0,0.0,40.0,0.0
1.0,1.0,3452.0,0.0,13.0,0.0,0.0,1.0,53.0,0.0
1.0,0.0,9727.0,0.0,24.0,0.0,1.0,2.0,12.0,0.0
1.0,0.0,9199.0,0.0,17.0,0.0,0.0,0.0,34.0,0.0
1.0,0.0,5358.0,0.0,17.0,1.0,0.0,2.0,66.0,0.0
1.0,1.0,8277.0,1.0,11.0,0.0,3.0,0.0,28.0,0.0
0.0,1.0,55.0,1.0,44.0,1.0,0.0,4.0,166.0,1.0
1.0,0.0,6097.0,0.0,15.0,0.0,1.0,1.0,20.0,0.0
0.0,4.0,15.0,1.0,50.0,1.0,0.0,2.0,79.0,1.0
0.0,4.0,64.0,0.0,37.0,1.0,0.0,0.0,170.0,1.0
0.0,2.0,62.0,0.0,49.0,1.0,1.0,5.0,137.0,1.0
0.0,6.0,25.0,1.0,47.0,1.0,0.0,5.0,125.0,1.0
1.0,0.0,5367.0,0.0,19.0,0.0,2.0,1.0,45.0,0.0
1.0,1.0,7659.0,0.0,6.0,0.0,1.0,2.0,22.0,0.0
0.0,3.0,114.0,0.0,42.0,0.0,1.0,5.0,190.0,1.0
0.0,7.0,27.0,1.0,44.0,1.0,3.0,5.0,169.0,1.0
1.0,2.0,96.0,0.0,14.0,1.0,9.0,0.0,75.0,1.0
0.0,4.0,89.0,1.0,25.0,0.0,0.0,1.0,40.0,0.0
0.0,6.0,10.0,1.0,38.0,1.0,1.0,0.0,180.0,1.0
0.0,0.0,8139.0,0.0,24.0,0.0,1.0,1.0,50.0,0.0
0.0,5.0,41.0,1.0,19.0,0.0,0.0,5.0,66.0,1.0
1.0,4.0,57.0,1.0,40.0,0.0,0.0,0.0,55.0,1.0
0.0,2.0,162.0,0.0,33.0,1.0,5.0,1.0,195.0,1.0
1.0,0.0,1867.0,0.0,5.0,0.0,1.0,0.0,46.0,0.0
0.0,5.0,25.0,0.0,25.0,0.0,0.0,3.0,127.0,1.0
1.0,1.0,2058.0,0.0,8.0,0.0,2.0,1.0,70.0,0.0
0.0,2.0,27.0,0.0,45.0,0.0,5.0,2.0,169.0,1.0
1.0,4.0,6320.0,0.0,15.0,0.0,2.0,0.0,30.0,0.0
1.0,0.0,225.0,0.0,20.0,0.0,1.0,1.0,76.0,0.0
1.0,1.0,91.0,1.0,23.0,0.0,9.0,1.0,52.0,1.0
1.0,1.0,9197.0,0.0,19.0,0.0,3.0,0.0,51.0,0.0
0.0,4.0,79.0,1.0,12.0,1.0,3.0,0.0,105.0,1.0
0.0,4.0,63.0,0.0,40.0,1.0,0.0,2.0,191.0,1.0
0.0,4.0,77.0,0.0,42.0,0.0,0.0,2.0,155.0,1.0
0.0,7.0,36.0,0.0,38.0,1.0,5.0,5.0,149.0,1.0
1.0,7.0,22.0,0.0,11.0,1.0,0.0,3.0,72.0,1.0
1.0,6.0,46.0,0.0,13.0,1.0,2.0,2.0,177.0,1.0
1.0,0.0,4120.0,0.0,3.0,0.0,0.0,2.0,56.0,0.0
1.0,1.0,1315.0,0.0,22.0,1.0,0.0,0.0,46.0,0.0
1.0,0.0,188.0,0.0,15.0,0.0,1.0,1.0,11.0,0.0
1.0,0.0,7636.0,0.0,12.0,0.0,0.0,2.0,66.0,0.0
0.0,0.0,1114.0,0.0,3.0,0.0,1.0,0.0,17.0,0.0
0.0,8.0,27.0,0.0,15.0,0.0,1.0,2.0,68.0,1.0
0.0,7.0,121.0,1.0,28.0,1.0,0.0,3.0,196.0,1.0
1.0,7.0,38.0,0.0,37.0,0.0,0.0,4.0,102.0,1.0
1.0,4.0,30.0,0.0,44.0,1.0,5.0,4.0,123.0,1.0
1.0,0.0,4782.0,0.0,19.0,1.0,0.0,1.0,61.0,0.0
1.0,6.0,91.0,1.0,44.0,0.0,1.0,3.0,143.0,1.0
1.0,0.0,2857.0,1.0,7.0,0.0,1.0,0.0,56.0,0.0
0.0,2.0,5936.0,0.0,5.0,0.0,0.0,2.0,29.0,0.0
1.0,3.0,59.0,1.0,45.0,0.0,1.0,3.0,83.0,1.0
0.0,0.0,8703.0,0.0,4.0,0.0,0.0,0.0,46.0,0.0
1.0,0.0,6389.0,0.0,17.0,0.0,2.0,1.0,34.0,0.0
0.0,4.0,18.0,1.0,36.0,0.0,6.0,3.0,77.0,1.0
1.0,7.0,49.0,0.0,48.0,0.0,5.0,3.0,199.0,1.0
0.0,4.0,159.0,0.0,40.0,0.0,0.0,0.0,99.0,1.0
0.0,1.0,3264.0,1.0,7.0,0.0,2.0,0.0,59.0,0.0
1.0,1.0,5725.0,0.0,18.0,1.0,0.0,2.0,74.0,0.0
1.0,0.0,2476.0,0.0,24.0,1.0,0.0,1.0,48.0,0.0
1.0,3.0,2.0,1.0,26.0,0.0,1.0,3.0,191.0,1.0
1.0,0.0,1151.0,0.0,7.0,0.0,1.0,0.0,67.0,0.0
0.0,0.0,4629.0,0.0,21.0,0.0,0.0,0.0,21.0,0.0
1.0,5.0,118.0,1.0,48.0,0.0,0.0,4.0,189.0,1.0
1.0,1.0,4776.0,1.0,12.0,0.0,2.0,0.0,69.0,0.0
1.0,2.0,122.0,1.0,47.0,1.0,3.0,0.0,145.0,1.0
1.0,7.0,26.0,0.0,39.0,0.0,0.0,3.0,185.0,1.0
1.0,0.0,4602.0,0.0,17.0,0.0,1.0,2.0,58.0,0.0
0.0,1.0,8311.0,1.0,23.0,0.0,0.0,0.0,47.0,0.0
0.0,3.0,6393.0,0.0,5.0,1.0,0.0,0.0,73.0,0.0
1.0,0.0,7600.0,0.0,4.0,0.0,1.0,2.0,53.0,0.0
0.0,6.0,55.0,1.0,17.0,1.0,0.0,0.0,139.0,1.0
0.0,3.0,53.0,0.0,26.0,1.0,0.0,2.0,119.0,1.0
1.0,0.0,580.0,0.0,16.0,1.0,0.0,0.0,71.0,0.0
0.0,9.0,30.0,0.0,41.0,0.0,4.0,0.0,135.0,1.0
0.0,3.0,21.0,0.0,23.0,0.0,1.0,5.0,73.0,1.0
1.0,0.0,6216.0,0.0,4.0,0.0,0.0,0.0,78.0,0.0
1.0,1.0,5686.0,1.0,3.0,1.0,0.0,2.0,79.0,0.0
0.0,2.0,17.0,0.0,48.0,1.0,5.0,2.0,65.0,1.0
0.0,1.0,53.0,1.0,49.0,1.0,2.0,3.0,128.0,1.0
1.0,0.0,8195.0,0.0,13.0,0.0,1.0,1.0,30.0,0.0
1.0,3.0,132.0,0.0,17.0,0.0,2.0,0.0,106.0,1.0
0.0,8.0,28.0,1.0,38.0,0.0,6.0,0.0,71.0,1.0
1.0,0.0,2434.0,0.0,7.0,0.0,0.0,1.0,35.0,0.0
1.0,5.0,106.0,1.0,29.0,0.0,0.0,4.0,196.0,1.0
0.0,7.0,39.0,0.0,21.0,1.0,5.0,3.0,60.0,1.0
1.0,4.0,85.0,1.0,42.0,0.0,8.0,0.0,174.0,1.0
1.0,1.0,6564.0,0.0,8.0,1.0,0.0,1.0,32.0,0.0
1.0,6.0,84.0,0.0,11.0,1.0,1.0,2.0,140.0,1.0
1.0,0.0,3360.0,1.0,6.0,1.0,1.0,0.0,46.0,0.0
1.0,3.0,122.0,1.0,43.0,1.0,1.0,0.0,121.0,1.0
1.0,1.0,7.0,1.0,48.0,0.0,2.0,5.0,81.0,1.0
1.0,0.0,3658.0,1.0,7.0,0.0,0.0,0.0,65.0,0.0
1.0,6.0,28.0,0.0,28.0,0.0,7.0,4.0,135.0,1.0
1.0,3.0,96.0,1.0,27.0,0.0,3.0,1.0,162.0,1.0
1.0,1.0,51.0,0.0,38.0,1.0,0.0,1.0,188.0,1.0
0.0,6.0,40.0,1.0,46.0,0.0,2.0,3.0,93.0,1.0
1.0,0.0,8827.0,0.0,6.0,0.0,0.0,0.0,17.0,0.0
1.0,0.0,8411.0,1.0,15.0,1.0,0.0,1.0,13.0,0.0
1.0,2.0,6047.0,0.0,15.0,0.0,4.0,1.0,25.0,0.0
0.0,3.0,674.0,0.0,7.0,1.0,0.0,1.0,13.0,0.0
1.0,7.0,105.0,1.0,19.0,0.0,2.0,4.0,170.0,1.0
1.0,2.0,5.0,1.0,24.0,0.0,8.0,4.0,65.0,1.0
0.0,6.0,49.0,0.0,22.0,0.0,9.0,5.0,90.0,1.0
1.0,0.0,2873.0,0.0,23.0,1.0,0.0,0.0,13.0,0.0
0.0,1.0,59.0,1.0,10.0,0.0,2.0,2.0,94.0,1.0
1.0,1.0,3467.0,0.0,17.0,1.0,2.0,2.0,20.0,0.0
1.0,5.0,50.0,1.0,23.0,0.0,0.0,4.0,115.0,1.0
1.0,9.0,23.0,0.0,43.0,0.0,2.0,4.0,73.0,1.0
1.0,0.0,1058.0,0.0,9.0,0.0,2.0,1.0,27.0,0.0
0.0,0.0,6468.0,0.0,17.0,0.0,1.0,1.0,43.0,0.0
1.0,1.0,2848.0,0.0,20.0,0.0,0.0,1.0,47.0,0.0
1.0,0.0,846.0,0.0,15.0,1.0,1.0,2.0,64.0,0.0
0.0,1.0,3618.0,0.0,16.0,1.0,3.0,1.0,20.0,0.0
1.0,0.0,6168.0,1.0,25.0,1.0,2.0,2.0,18.0,0.0
1.0,2.0,26.0,1.0,34.0,0.0,9.0,1.0,101.0,1.0
1.0,2.0,8518.0,0.0,15.0,0.0,0.0,0.0,12.0,0.0
0.0,0.0,7833.0,0.0,10.0,0.0,0.0,2.0,57.0,0.0
1.0,1.0,6661.0,1.0,11.0,0.0,0.0,0.0,70.0,0.0
1.0,0.0,5206.0,0.0,4.0,1.0,1.0,2.0,36.0,0.0
1.0,0.0,3841.0,1.0,24.0,0.0,0.0,0.0,37.0,0.0
1.0,5.0,18.0,1.0,27.0,0.0,4.0,5.0,104.0,1.0
1.0,5.0,39.0,1.0,36.0,1.0,0.0,4.0,192.0,1.0
1.0,3.0,3750.0,0.0,24.0,1.0,0.0,1.0,12.0,0.0
1.0,1.0,9930.0,0.0,16.0,1.0,0.0,1.0,17.0,0.0
0.0,1.0,2312.0,0.0,20.0,1.0,3.0,1.0,37.0,0.0
1.0,0.0,6476.0,0.0,7.0,0.0,0.0,2.0,41.0,0.0
1.0,0.0,2013.0,0.0,11.0,0.0,2.0,0.0,31.0,0.0
1.0,5.0,37.0,1.0,30.0,1.0,0.0,0.0,101.0,1.0
0.0,8.0,167.0,0.0,45.0,0.0,3.0,1.0,127.0,1.0
1.0,4.0,106.0,1.0,38.0,0.0,0.0,1.0,177.0,1.0
1.0,1.0,985.0,0.0,3.0,0.0,0.0,1.0,73.0,0.0
1.0,3.0,20.0,1.0,21.0,1.0,0.0,5.0,124.0,1.0
1.0,0.0,5401.0,1.0,8.0,0.0,2.0,1.0,34.0,0.0
1.0,5.0,44.0,1.0,49.0,1.0,1.0,0.0,139.0,1.0
1.0,1.0,9438.0,0.0,23.0,0.0,0.0,2.0,35.0,0.0
1.0,0.0,8934.0,0.0,11.0,0.0,0.0,2.0,77.0,0.0
0.0,7.0,127.0,0.0,16.0,1.0,4.0,4.0,83.0,1.0
1.0,1.0,6759.0,0.0,4.0,1.0,2.0,0.0,66.0,0.0
1.0,4.0,76.0,1.0,45.0,1.0,6.0,5.0,197.0,1.0
0.0,1.0,3257.0,0.0,10.0,0.0,1.0,0.0,35.0,0.0
1.0,0.0,1761.0,0.0,18.0,0.0,0.0,0.0,16.0,0.0
1.0,8.0,125.0,0.0,20.0,1.0,2.0,4.0,63.0,1.0
1.0,0.0,4869.0,0.0,18.0,0.0,0.0,0.0,36.0,0.0
1.0,5.0,21.0,0.0,40.0,1.0,2.0,5.0,57.0,1.0
1.0,1.0,5995.0,0.0,8.0,1.0,0.0,2.0,20.0,0.0
0.0,5.0,156.0,1.0,40.0,0.0,7.0,3.0,104.0,1.0
1.0,1.0,959.0,1.0,14.0,0.0,2.0,2.0,32.0,0.0
0.0,5.0,117.0,1.0,29.0,0.0,2.0,4.0,156.0,1.0
1.0,0.0,4336.0,0.0,4.0,0.0,1.0,0.0,57.0,0.0
0.0,0.0,8133.0,0.0,25.0,1.0,0.0,1.0,30.0,0.0
1.0,3.0,48.0,1.0,30.0,0.0,3.0,3.0,129.0,1.0
0.0,3.0,118.0,1.0,22.0,0.0,7.0,5.0,91.0,1.0
1.0,0.0,2266.0,1.0,13.0,1.0,1.0,1.0,14.0,0.0
1.0,1.0,1155.0,1.0,19.0,1.0,0.0,1.0,37.0,0.0
1.0,1.0,3463.0,0.0,20.0,0.0,1.0,1.0,24.0,0.0
1.0,7.0,20.0,0.0,26.0,1.0,0.0,4.0,166.0,1.0
0.0,6.0,166.0,0.0,35.0,1.0,5.0,5.0,100.0,1.0
1.0,0.0,3622.0,0.0,8.0,1.0,1.0,2.0,75.0,0.0
0.0,6.0,16.0,1.0,48.0,1.0,1.0,3.0,83.0,1.0
1.0,0.0,6428.0,1.0,14.0,0.0,0.0,0.0,76.0,0.0
1.0,1.0,3856.0,0.0,14.0,0.0,0.0,2.0,19.0,0.0
0.0,0.0,9846.0,1.0,5.0,0.0,1.0,1.0,39.0,0.0
1.0,0.0,1373.0,0.0,7.0,1.0,0.0,1.0,14.0,0.0
1.0,0.0,9949.0,0.0,5.0,0.0,0.0,1.0,73.0,0.0
0.0,0.0,9565.0,0.0,3.0,0.0,0.0,1.0,72.0,0.0
1.0,0.0,2043.0,0.0,9.0,0.0,1.0,2.0,76.0,0.0
0.0,3.0,43.0,0.0,46.0,1.0,0.0,1.0,65.0,1.0
0.0,7.0,38.0,0.0,22.0,0.0,0.0,1.0,196.0,1.0
1.0,0.0,1977.0,0.0,14.0,0.0,0.0,0.0,35.0,0.0
1.0,3.0,8755.0,0.0,17.0,1.0,0.0,2.0,16.0,0.0
1.0,2.0,96.0,1.0,43.0,1.0,6.0,2.0,139.0,1.0
1.0,5.0,67.0,0.0,49.0,0.0,9.0,2.0,110.0,1.0
1.0,4.0,2.0,1.0,25.0,0.0,3.0,2.0,116.0,1.0
1.0,1.0,215.0,1.0,22.0,0.0,0.0,0.0,61.0,0.0
0.0,0.0,6919.0,0.0,24.0,0.0,4.0,2.0,32.0,0.0
1.0,2.0,23.0,1.0,19.0,0.0,1.0,5.0,185.0,1.0
1.0,0.0,7415.0,0.0,19.0,1.0,2.0,2.0,18.0,0.0
1.0,0.0,7078.0,0.0,9.0,0.0,2.0,1.0,50.0,0.0
1.0,4.0,46.0,0.0,37.0,1.0,1.0,4.0,102.0,1.0
1.0,6.0,33.0,0.0,31.0,0.0,0.0,0.0,142.0,1.0
1.0,0.0,4194.0,0.0,22.0,1.0,0.0,1.0,14.0,0.0
1.0,1.0,3128.0,1.0,7.0,1.0,3.0,0.0,59.0,0.0
1.0,7.0,20.0,0.0,45.0,1.0,2.0,4.0,161.0,1.0
1.0,1.0,8634.0,0.0,19.0,0.0,0.0,1.0,66.0,0.0
1.0,1.0,4538.0,0.0,25.0,0.0,0.0,2.0,33.0,0.0
1.0,0.0,38.0,0.0,12.0,0.0,1.0,0.0,72.0,0.0
0.0,6.0,2.0,0.0,14.0,0.0,1.0,2.0,76.0,1.0
0.0,1.0,8156.0,0.0,14.0,0.0,2.0,0.0,44.0,0.0
0.0,9.0,14.0,1.0,42.0,1.0,2.0,2.0,117.0,1.0
0.0,5.0,32.0,1.0,49.0,1.0,1.0,4.0,157.0,1.0
1.0,6.0,156.0,1.0,21.0,0.0,0.0,2.0,113.0,1.0
0.0,1.0,9208.0,0.0,23.0,0.0,0.0,0.0,43.0,0.0
0.0,6.0,34.0,0.0,25.0,1.0,0.0,1.0,59.0,1.0
0.0,0.0,2625.0,0.0,25.0,0.0,2.0,0.0,80.0,0.0
1.0,6.0,14.0,1.0,14.0,0.0,0.0,2.0,170.0,1.0
1.0,2.0,7436.0,0.0,4.0,1.0,2.0,2.0,60.0,0.0
1.0,1.0,5264.0,0.0,9.0,0.0,1.0,0.0,26.0,0.0
1.0,1.0,4581.0,0.0,13.0,0.0,0.0,1.0,18.0,0.0
0.0,1.0,2191.0,0.0,24.0,0.0,0.0,1.0,33.0,0.0
0.0,0.0,807.0,0.0,3.0,1.0,2.0,1.0,50.0,0.0
0.0,6.0,93.0,1.0,46.0,0.0,9.0,4.0,180.0,1.0
1.0,0.0,9371.0,0.0,5.0,0.0,0.0,2.0,54.0,0.0
0.0,5.0,27.0,0.0,11.0,1.0,0.0,1.0,91.0,1.0
1.0,0.0,9823.0,0.0,11.0,0.0,2.0,1.0,26.0,0.0
1.0,0.0,9429.0,0.0,5.0,0.0,1.0,2.0,32.0,0.0
0.0,5.0,77.0,1.0,31.0,0.0,1.0,2.0,52.0,1.0
0.0,4.0,94.0,0.0,48.0,0.0,1.0,0.0,138.0,1.0
0.0,1.0,3230.0,0.0,24.0,0.0,0.0,0.0,65.0,0.0
1.0,1.0,6659.0,0.0,24.0,1.0,2.0,2.0,34.0,0.0
1.0,7.0,96.0,0.0,19.0,0.0,3.0,0.0,71.0,1.0
1.0,7.0,45.0,0.0,15.0,1.0,5.0,0.0,133.0,1.0
1.0,5.0,107.0,1.0,47.0,0.0,3.0,5.0,119.0,1.0
0.0,4.0,91.0,0.0,17.0,0.0,0.0,4.0,77.0,1.0
0.0,1.0,5133.0,0.0,8.0,0.0,1.0,1.0,63.0,0.0
1.0,0.0,1420.0,0.0,20.0,0.0,1.0,0.0,80.0,0.0
1.0,4.0,1781.0,0.0,25.0,0.0,0.0,2.0,71.0,0.0
1.0,1.0,5285.0,0.0,18.0,1.0,0.0,2.0,64.0,0.0
0.0,4.0,29.0,0.0,27.0,1.0,2.0,4.0,155.0,1.0
0.0,0.0,6044.0,0.0,24.0,0.0,2.0,2.0,45.0,0.0
1.0,4.0,44.0,0.0,38.0,0.0,0.0,3.0,110.0,1.0
0.0,4.0,23.0,1.0,26.0,0.0,1.0,4.0,131.0,1.0
1.0,8.0,5.0,1.0,34.0,0.0,0.0,1.0,155.0,1.0
1.0,6.0,168.0,0.0,18.0,1.0,0.0,3.0,63.0,1.0
1.0,0.0,650.0,0.0,7.0,1.0,1.0,2.0,26.0,0.0
0.0,6.0,48.0,0.0,36.0,0.0,0.0,4.0,63.0,1.0
1.0,0.0,3208.0,0.0,15.0,0.0,0.0,2.0,75.0,0.0
1.0,1.0,77.0,0.0,40.0,0.0,1.0,2.0,150.0,1.0
1.0,1.0,8743.0,0.0,24.0,1.0,0.0,2.0,22.0,0.0
0.0,3.0,80.0,1.0,19.0,1.0,0.0,5.0,174.0,1.0
1.0,0.0,4314.0,0.0,16.0,0.0,2.0,0.0,53.0,0.0
1.0,0.0,5371.0,1.0,19.0,0.0,0.0,2.0,27.0,0.0
0.0,0.0,6473.0,1.0,13.0,0.0,1.0,0.0,74.0,0.0
1.0,0.0,9484.0,0.0,16.0,1.0,2.0,0.0,32.0,0.0
0.0,2.0,1524.0,0.0,7.0,0.0,0.0,2.0,23.0,0.0
1.0,0.0,7652.0,0.0,5.0,0.0,1.0,0.0,65.0,0.0
1.0,0.0,9442.0,1.0,9.0,1.0,0.0,2.0,29.0,0.0
0.0,5.0,88.0,1.0,16.0,1.0,1.0,3.0,67.0,1.0
0.0,4.0,122.0,1.0,30.0,1.0,2.0,1.0,160.0,1.0
1.0,5.0,17.0,1.0,23.0,1.0,1.0,3.0,76.0,1.0
1.0,1.0,8512.0,0.0,9.0,0.0,0.0,0.0,71.0,0.0
1.0,0.0,9390.0,1.0,23.0,0.0,1.0,1.0,23.0,0.0
1.0,0.0,3530.0,0.0,21.0,0.0,1.0,0.0,66.0,0.0
1.0,2.0,74.0,0.0,17.0,1.0,9.0,0.0,140.0,1.0
0.0,3.0,46.0,1.0,22.0,0.0,4.0,3.0,98.0,1.0
0.0,4.0,64.0,0.0,38.0,1.0,0.0,3.0,100.0,1.0
0.0,6.0,21.0,1.0,27.0,0.0,0.0,2.0,88.0,1.0
1.0,0.0,7211.0,0.0,22.0,0.0,0.0,1.0,52.0,0.0
1.0,3.0,98.0,0.0,45.0,0.0,2.0,5.0,52.0,1.0
0.0,5.0,26.0,0.0,25.0,0.0,3.0,2.0,97.0,1.0
0.0,4.0,60.0,0.0,24.0,1.0,8.0,3.0,53.0,1.0
1.0,1.0,3468.0,0.0,10.0,0.0,1.0,2.0,12.0,0.0
0.0,0.0,9985.0,1.0,8.0,0.0,0.0,1.0,79.0,0.0
1.0,3.0,2603.0,0.0,6.0,0.0,2.0,0.0,26.0,0.0
1.0,5.0,64.0,1.0,32.0,0.0,0.0,3.0,96.0,1.0
1.0,0.0,4611.0,0.0,24.0,0.0,0.0,0.0,71.0,0.0
0.0,0.0,610.0,1.0,18.0,0.0,1.0,1.0,44.0,0.0
1.0,0.0,420.0,1.0,22.0,1.0,0.0,2.0,35.0,0.0
1.0,1.0,8157.0,1.0,8.0,0.0,0.0,0.0,39.0,0.0
0.0,4.0,40.0,1.0,25.0,0.0,1.0,0.0,61.0,1.0
1.0,2.0,8561.0,1.0,3.0,0.0,1.0,2.0,40.0,0.0
0.0,6.0,81.0,1.0,36.0,0.0,2.0,5.0,135.0,1.0
1.0,0.0,4985.0,0.0,5.0,0.0,1.0,1.0,52.0,0.0
1.0,1.0,215.0,0.0,22.0,0.0,3.0,2.0,54.0,0.0
1.0,7.0,19.0,1.0,32.0,1.0,1.0,4.0,103.0,1.0
1.0,1.0,8129.0,0.0,11.0,0.0,3.0,2.0,12.0,0.0
1.0,0.0,2275.0,1.0,15.0,0.0,0.0,2.0,54.0,0.0
